"Izquierda","Derecha","Actor","Mismo_Padre","Caracteres_Izquierda","Caracteres_Derecha","Fuente_Izquierda","Fuente_Derecha","Motivos_Izquierda","Motivos_Derecha","Indicadores","Estado","Estado_Revision_Dirigida","Causa_Lote7","Alcance_Lectura","Evidencia","Siguiente_Accion","Enlace_Aplicado_V6","Corte_Aplicado_V7"
"RPM-2012-05-17:4849:1","RPM-2012-05-17:4849:2","Rodrigo Vergara Montes","True","153","178","SUJETO_ROL_NOMBRE","SUJETO_ROL_NOMBRE","","DUPLICADO_NO_FORMULA","TIPO_ACTA_O_DOCUMENTO","INVENTARIO_NO_APROBACION","SEPARACION_FUNCIONAL_V4","","RESPALDO_ANTERIOR_NO_RELECTURA_EN_LOTE6","data/curation/refinamiento_funcional_v4.json","Mantener separación; no tratarla como un enlace pendiente.","NO","NO"
"RPM-2012-06-14:4899:1","RPM-2012-06-14:4899:2","Rodrigo Vergara Montes","True","219","178","SUJETO_ROL_NOMBRE","SUJETO_ROL_NOMBRE","","DUPLICADO_NO_FORMULA","TIPO_ACTA_O_DOCUMENTO","INVENTARIO_NO_APROBACION","SEPARACION_FUNCIONAL_V4","","RESPALDO_ANTERIOR_NO_RELECTURA_EN_LOTE6","data/curation/refinamiento_funcional_v4.json","Mantener separación; no tratarla como un enlace pendiente.","NO","NO"
"RPM-2012-07-12:4972:1","RPM-2012-07-12:4973:1","Rodrigo Vergara Montes","False","2475","1779","SUJETO_ROL_NOMBRE","SUJETO_ROL_NOMBRE","","","AGRUPADO_EN_V7_POR_CORTE_V5","AGRUPADO_EN_V7_POR_CORTE_V5","SEPARACION_FUNCIONAL_APLICADA_V5","APORTE_PERSONAL_Y_CONSTANCIA_EN_UNA_FILA","PADRE_COMPLETO_EN_LOTE8","docs/continuidad_lote8_2026-09-09/lecturas.json","Corte aplicado y probado en v7; la constancia mantiene ACUERDO_CONSEJO y Vergara conserva la atribución.","NO","SI"
"RPM-2012-07-12:4973:1","RPM-2012-07-12:4973:2","Rodrigo Vergara Montes","True","1779","178","SUJETO_ROL_NOMBRE","SUJETO_ROL_NOMBRE","","","TIPO_ACTA_O_DOCUMENTO","INVENTARIO_NO_APROBACION","SEPARACION_FUNCIONAL_V5_INTERNA","APORTE_PERSONAL_Y_CONSTANCIA_EN_UNA_FILA","PADRE_COMPLETO_EN_LOTE8","docs/continuidad_lote8_2026-09-09/lecturas.json","Límite creado por el corte v5: debe seguir separado. La constancia es INSTITUCIONAL y no se une al aporte personal.","NO","NO"
"RPM-2012-08-16:5038:1","RPM-2012-08-16:5039:1","Rodrigo Vergara Montes","False","3040","1641","SUJETO_ROL_NOMBRE","SUJETO_ROL_NOMBRE","","","AGRUPADO_EN_V7_POR_CORTE_V5","AGRUPADO_EN_V7_POR_CORTE_V5","SEPARACION_FUNCIONAL_APLICADA_V5","APORTE_PERSONAL_Y_CONSTANCIA_EN_UNA_FILA","PADRE_COMPLETO_EN_LOTE8","docs/continuidad_lote8_2026-09-09/lecturas.json","Corte aplicado y probado en v7; la constancia mantiene ACUERDO_CONSEJO y Vergara conserva la atribución.","NO","SI"
"RPM-2012-08-16:5039:1","RPM-2012-08-16:5039:2","Rodrigo Vergara Montes","True","1641","176","SUJETO_ROL_NOMBRE","SUJETO_ROL_NOMBRE","","DUPLICADO_NO_FORMULA","TIPO_ACTA_O_DOCUMENTO","INVENTARIO_NO_APROBACION","SEPARACION_FUNCIONAL_V5_INTERNA","APORTE_PERSONAL_Y_CONSTANCIA_EN_UNA_FILA","PADRE_COMPLETO_EN_LOTE8","docs/continuidad_lote8_2026-09-09/lecturas.json","Límite creado por el corte v5: debe seguir separado. La constancia es INSTITUCIONAL y no se une al aporte personal.","NO","NO"
"RPM-2012-10-18:5158:1","RPM-2012-10-18:5159:1","Rodrigo Vergara Montes","False","2187","1832","SUJETO_ROL_NOMBRE","SUJETO_ROL_NOMBRE","","","AGRUPADO_EN_V7_POR_CORTE_V5","AGRUPADO_EN_V7_POR_CORTE_V5","SEPARACION_FUNCIONAL_APLICADA_V5","APORTE_PERSONAL_Y_CONSTANCIA_EN_UNA_FILA","PADRE_COMPLETO_EN_LOTE8","docs/continuidad_lote8_2026-09-09/lecturas.json","Corte aplicado y probado en v7; la constancia mantiene ACUERDO_CONSEJO y Vergara conserva la atribución.","NO","SI"
"RPM-2012-10-18:5159:1","RPM-2012-10-18:5159:2","Rodrigo Vergara Montes","True","1832","176","SUJETO_ROL_NOMBRE","SUJETO_ROL_NOMBRE","","DUPLICADO_NO_FORMULA","TIPO_ACTA_O_DOCUMENTO","INVENTARIO_NO_APROBACION","SEPARACION_FUNCIONAL_V5_INTERNA","APORTE_PERSONAL_Y_CONSTANCIA_EN_UNA_FILA","PADRE_COMPLETO_EN_LOTE8","docs/continuidad_lote8_2026-09-09/lecturas.json","Límite creado por el corte v5: debe seguir separado. La constancia es INSTITUCIONAL y no se une al aporte personal.","NO","NO"
"RPM-2012-11-13:5220:1","RPM-2012-11-13:5221:1","Rodrigo Vergara Montes","False","3424","2078","SUJETO_ROL_NOMBRE","SUJETO_ROL_NOMBRE","","","AGRUPADO_EN_V7_POR_CORTE_V5","AGRUPADO_EN_V7_POR_CORTE_V5","SEPARACION_FUNCIONAL_APLICADA_V5","APORTE_PERSONAL_Y_CONSTANCIA_EN_UNA_FILA","PADRE_COMPLETO_EN_LOTE8","docs/continuidad_lote8_2026-09-09/lecturas.json","Corte aplicado y probado en v7; la constancia mantiene ACUERDO_CONSEJO y Vergara conserva la atribución.","NO","SI"
"RPM-2012-11-13:5221:1","RPM-2012-11-13:5221:2","Rodrigo Vergara Montes","True","2078","176","SUJETO_ROL_NOMBRE","SUJETO_ROL_NOMBRE","","DUPLICADO_NO_FORMULA","TIPO_ACTA_O_DOCUMENTO","INVENTARIO_NO_APROBACION","SEPARACION_FUNCIONAL_V5_INTERNA","APORTE_PERSONAL_Y_CONSTANCIA_EN_UNA_FILA","PADRE_COMPLETO_EN_LOTE8","docs/continuidad_lote8_2026-09-09/lecturas.json","Límite creado por el corte v5: debe seguir separado. La constancia es INSTITUCIONAL y no se une al aporte personal.","NO","NO"
"RPM-2012-12-13:5252:3","RPM-2012-12-13:5252:4","Manuel Marfán Lewis","True","162","223","CONTEXTO_REVISADO","SUJETO_ROL_NOMBRE","","","IZQUIERDA_SIN_FUENTE_PROPAGABLE","INVENTARIO_NO_APROBACION","RESERVA_LIMITE_ACTA_PERSONA","","PADRES_Y_GRUPOS_COMPLETOS_EN_LOTE6","docs/continuidad_lote6_2026-09-09/lecturas.json","Revisar primero la frontera acta/aviso con la fuente original y el criterio de función textual; sólo después evaluar aviso→cesión. No inventar una intervención intermedia.","NO","NO"
"RPM-2012-12-13:5266:1","RPM-2012-12-13:5267:1","Rodrigo Vergara Montes","False","3661","1793","SUJETO_ROL_NOMBRE","SUJETO_ROL_NOMBRE","","","AGRUPADO_EN_V7_POR_CORTE_V5","AGRUPADO_EN_V7_POR_CORTE_V5","SEPARACION_FUNCIONAL_APLICADA_V5","APORTE_PERSONAL_Y_CONSTANCIA_EN_UNA_FILA","PADRE_COMPLETO_EN_LOTE8","docs/continuidad_lote8_2026-09-09/lecturas.json","Corte aplicado y probado en v7; la constancia mantiene ACUERDO_CONSEJO y Vergara conserva la atribución.","NO","SI"
"RPM-2012-12-13:5267:1","RPM-2012-12-13:5267:2","Rodrigo Vergara Montes","True","1793","176","SUJETO_ROL_NOMBRE","SUJETO_ROL_NOMBRE","","DUPLICADO_NO_FORMULA","TIPO_ACTA_O_DOCUMENTO","INVENTARIO_NO_APROBACION","SEPARACION_FUNCIONAL_V5_INTERNA","APORTE_PERSONAL_Y_CONSTANCIA_EN_UNA_FILA","PADRE_COMPLETO_EN_LOTE8","docs/continuidad_lote8_2026-09-09/lecturas.json","Límite creado por el corte v5: debe seguir separado. La constancia es INSTITUCIONAL y no se une al aporte personal.","NO","NO"
